Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.9099999999999999,0.01,0.3166334128250202
75% Corpus,6,0.9099999999999999,0.31,0.30744948783265813
75% Corpus,6,0.9099999999999999,0.61,0.29046538387973087
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3085156372815656
75% Corpus,6,0.9099999999999999,symmetric,0.30741249195840276
75% Corpus,6,symmetric,0.01,0.3054746571091979
75% Corpus,6,symmetric,0.31,0.30491576913959956
75% Corpus,6,symmetric,0.61,0.3134530038490437
75% Corpus,6,symmetric,0.9099999999999999,0.28811147547990124
75% Corpus,6,symmetric,symmetric,0.29779890528492764
75% Corpus,6,asymmetric,0.01,0.29792604773227443
75% Corpus,6,asymmetric,0.31,0.36589754404450897
75% Corpus,6,asymmetric,0.61,0.3799743045472122
75% Corpus,6,asymmetric,0.9099999999999999,0.4851442763695823
75% Corpus,6,asymmetric,symmetric,0.3148972806577774
75% Corpus,7,0.01,0.01,0.331591673141176
75% Corpus,7,0.01,0.31,0.29978104215030427
75% Corpus,7,0.01,0.61,0.363401903714137
75% Corpus,7,0.01,0.9099999999999999,0.33515822833064757
75% Corpus,7,0.01,symmetric,0.30235045185425646
75% Corpus,7,0.31,0.01,0.3394539642863133
75% Corpus,7,0.31,0.31,0.295786155017354
75% Corpus,7,0.31,0.61,0.3075811473387525
75% Corpus,7,0.31,0.9099999999999999,0.38423738487030895
75% Corpus,7,0.31,symmetric,0.3339958125306026
75% Corpus,7,0.61,0.01,0.3446563620013416
75% Corpus,7,0.61,0.31,0.3175864978419298
75% Corpus,7,0.61,0.61,0.39837592388003135
75% Corpus,7,0.61,0.9099999999999999,0.2777223812721899
75% Corpus,7,0.61,symmetric,0.33902964282215714
75% Corpus,7,0.9099999999999999,0.01,0.34058193782508706
75% Corpus,7,0.9099999999999999,0.31,0.30495498816668704
75% Corpus,7,0.9099999999999999,0.61,0.3278859042332483
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.29516909018298565
75% Corpus,7,0.9099999999999999,symmetric,0.3590733687629641
75% Corpus,7,symmetric,0.01,0.2998216116619195
75% Corpus,7,symmetric,0.31,0.35089832919476377
75% Corpus,7,symmetric,0.61,0.3500784579091997
75% Corpus,7,symmetric,0.9099999999999999,0.3610050881107298
75% Corpus,7,symmetric,symmetric,0.319757632307522
75% Corpus,7,asymmetric,0.01,0.33554218158610444
75% Corpus,7,asymmetric,0.31,0.31968434600664136
75% Corpus,7,asymmetric,0.61,0.3280441054709578
75% Corpus,7,asymmetric,0.9099999999999999,0.475062895191523
75% Corpus,7,asymmetric,symmetric,0.373012435429655
75% Corpus,8,0.01,0.01,0.29986065213594865
75% Corpus,8,0.01,0.31,0.307019180299289
75% Corpus,8,0.01,0.61,0.3107859753982667
75% Corpus,8,0.01,0.9099999999999999,0.3207883231324838
75% Corpus,8,0.01,symmetric,0.2976011876847492
75% Corpus,8,0.31,0.01,0.3311176760074712
75% Corpus,8,0.31,0.31,0.313744709508592
75% Corpus,8,0.31,0.61,0.34848690316569286
75% Corpus,8,0.31,0.9099999999999999,0.33790946296269947
75% Corpus,8,0.31,symmetric,0.3105490338763772
75% Corpus,8,0.61,0.01,0.2896080032108418
75% Corpus,8,0.61,0.31,0.283717889141848
75% Corpus,8,0.61,0.61,0.29551875903848585
75% Corpus,8,0.61,0.9099999999999999,0.2687758404242606
75% Corpus,8,0.61,symmetric,0.27968980617719547
75% Corpus,8,0.9099999999999999,0.01,0.29137932916740955
75% Corpus,8,0.9099999999999999,0.31,0.3158089484683598
75% Corpus,8,0.9099999999999999,0.61,0.3236227682316989
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.2697197309304753
75% Corpus,8,0.9099999999999999,symmetric,0.3200307891971932
75% Corpus,8,symmetric,0.01,0.29265597559519685
75% Corpus,8,symmetric,0.31,0.29064441466454705
75% Corpus,8,symmetric,0.61,0.33282329322029636
75% Corpus,8,symmetric,0.9099999999999999,0.33988526070162095
75% Corpus,8,symmetric,symmetric,0.30554153460123346
75% Corpus,8,asymmetric,0.01,0.3303601210519195
75% Corpus,8,asymmetric,0.31,0.36931913711500813
75% Corpus,8,asymmetric,0.61,0.40450970989780466
75% Corpus,8,asymmetric,0.9099999999999999,0.4676682334576285
75% Corpus,8,asymmetric,symmetric,0.31252749800331797
75% Corpus,9,0.01,0.01,0.33055837599802795
75% Corpus,9,0.01,0.31,0.33170979016558894
75% Corpus,9,0.01,0.61,0.3576790949266473
75% Corpus,9,0.01,0.9099999999999999,0.3822048111002751
75% Corpus,9,0.01,symmetric,0.3118377848258118
75% Corpus,9,0.31,0.01,0.31642395087115366
75% Corpus,9,0.31,0.31,0.33676205001633974
75% Corpus,9,0.31,0.61,0.35410392594161255
75% Corpus,9,0.31,0.9099999999999999,0.3896188470909369
75% Corpus,9,0.31,symmetric,0.3074958476528027
75% Corpus,9,0.61,0.01,0.3394922167402423
75% Corpus,9,0.61,0.31,0.3212060345967392
75% Corpus,9,0.61,0.61,0.3479518272879321
75% Corpus,9,0.61,0.9099999999999999,0.32395073728762636
75% Corpus,9,0.61,symmetric,0.32765858750375565
75% Corpus,9,0.9099999999999999,0.01,0.3087182393373887
75% Corpus,9,0.9099999999999999,0.31,0.2996329580269585
75% Corpus,9,0.9099999999999999,0.61,0.31372228773902294
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.2811248074445325
75% Corpus,9,0.9099999999999999,symmetric,0.3127225921353467
75% Corpus,9,symmetric,0.01,0.33757672078999473
75% Corpus,9,symmetric,0.31,0.3008462235097303
75% Corpus,9,symmetric,0.61,0.3200326557440779
75% Corpus,9,symmetric,0.9099999999999999,0.39418528780996265
75% Corpus,9,symmetric,symmetric,0.32517980737767943
75% Corpus,9,asymmetric,0.01,0.3094766208678084
75% Corpus,9,asymmetric,0.31,0.36479267339566024
75% Corpus,9,asymmetric,0.61,0.44190230151966303
75% Corpus,9,asymmetric,0.9099999999999999,0.48787036431545794
75% Corpus,9,asymmetric,symmetric,0.3659503925495152
100% Corpus,2,0.01,0.01,0.3193936123015429
100% Corpus,2,0.01,0.31,0.27849979009153325
100% Corpus,2,0.01,0.61,0.30033991095848817
100% Corpus,2,0.01,0.9099999999999999,0.32718966782837133
100% Corpus,2,0.01,symmetric,0.3131477568928339
100% Corpus,2,0.31,0.01,0.3603954763228372
100% Corpus,2,0.31,0.31,0.3044217284046884
100% Corpus,2,0.31,0.61,0.2928474147953027
100% Corpus,2,0.31,0.9099999999999999,0.32576507969206364
100% Corpus,2,0.31,symmetric,0.27165778155353937
100% Corpus,2,0.61,0.01,0.2845682947519068
100% Corpus,2,0.61,0.31,0.3030826085387125
100% Corpus,2,0.61,0.61,0.2838990657463435
100% Corpus,2,0.61,0.9099999999999999,0.2557017268786152
100% Corpus,2,0.61,symmetric,0.25834343794022474
100% Corpus,2,0.9099999999999999,0.01,0.3179770055458615
100% Corpus,2,0.9099999999999999,0.31,0.3179770055458614
100% Corpus,2,0.9099999999999999,0.61,0.2559488204117967
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2772690403710206
100% Corpus,2,0.9099999999999999,symmetric,0.28809990690796305
100% Corpus,2,symmetric,0.01,0.2837157379667964
100% Corpus,2,symmetric,0.31,0.3250883742520043
100% Corpus,2,symmetric,0.61,0.28000229106562563
100% Corpus,2,symmetric,0.9099999999999999,0.2622347375584759
100% Corpus,2,symmetric,symmetric,0.28683514951307265
100% Corpus,2,asymmetric,0.01,0.31400825175343505
100% Corpus,2,asymmetric,0.31,0.3002523376391048
100% Corpus,2,asymmetric,0.61,0.3817796289255283
100% Corpus,2,asymmetric,0.9099999999999999,0.35639459546398555
100% Corpus,2,asymmetric,symmetric,0.44110520723335345
100% Corpus,3,0.01,0.01,0.2450002684142709
100% Corpus,3,0.01,0.31,0.26665435066628485
100% Corpus,3,0.01,0.61,0.2998760033905619
100% Corpus,3,0.01,0.9099999999999999,0.29335310310166707
100% Corpus,3,0.01,symmetric,0.29801569940076905
100% Corpus,3,0.31,0.01,0.2780809616022577
100% Corpus,3,0.31,0.31,0.3126208060762999
100% Corpus,3,0.31,0.61,0.2793378635837021
100% Corpus,3,0.31,0.9099999999999999,0.28733410771597734
100% Corpus,3,0.31,symmetric,0.2762846693804757
100% Corpus,3,0.61,0.01,0.25889600945462954
100% Corpus,3,0.61,0.31,0.285959481097176
100% Corpus,3,0.61,0.61,0.2751521885170013
100% Corpus,3,0.61,0.9099999999999999,0.2733144244825464
100% Corpus,3,0.61,symmetric,0.2672641881780298
100% Corpus,3,0.9099999999999999,0.01,0.2861428688283682
100% Corpus,3,0.9099999999999999,0.31,0.27785209315748177
100% Corpus,3,0.9099999999999999,0.61,0.2638537239600347
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2427054953895306
100% Corpus,3,0.9099999999999999,symmetric,0.2632784490356879
100% Corpus,3,symmetric,0.01,0.25406985142404653
100% Corpus,3,symmetric,0.31,0.2637671840870824
100% Corpus,3,symmetric,0.61,0.288958025512037
100% Corpus,3,symmetric,0.9099999999999999,0.3067166657961146
100% Corpus,3,symmetric,symmetric,0.2913205556371776
100% Corpus,3,asymmetric,0.01,0.33321005290593253
100% Corpus,3,asymmetric,0.31,0.40042270864801727
100% Corpus,3,asymmetric,0.61,0.3945849303854267
100% Corpus,3,asymmetric,0.9099999999999999,0.4527446052235602
100% Corpus,3,asymmetric,symmetric,0.3234132634164955
100% Corpus,4,0.01,0.01,0.2821756044295585
100% Corpus,4,0.01,0.31,0.283019568538208
100% Corpus,4,0.01,0.61,0.30551831748376085
100% Corpus,4,0.01,0.9099999999999999,0.27532554826616207
100% Corpus,4,0.01,symmetric,0.28289424987909173
100% Corpus,4,0.31,0.01,0.2915832122024359
100% Corpus,4,0.31,0.31,0.264652340984085
100% Corpus,4,0.31,0.61,0.30726744749705337
100% Corpus,4,0.31,0.9099999999999999,0.28049257819279294
100% Corpus,4,0.31,symmetric,0.28630984274671056
100% Corpus,4,0.61,0.01,0.249320000707147
100% Corpus,4,0.61,0.31,0.2825102898837439
100% Corpus,4,0.61,0.61,0.2330449154281405
100% Corpus,4,0.61,0.9099999999999999,0.2702727280973799
100% Corpus,4,0.61,symmetric,0.2737454508761218
100% Corpus,4,0.9099999999999999,0.01,0.2941787871740142
100% Corpus,4,0.9099999999999999,0.31,0.2631534363793551
100% Corpus,4,0.9099999999999999,0.61,0.24687168411651284
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2742404828428177
100% Corpus,4,0.9099999999999999,symmetric,0.26287685632355895
100% Corpus,4,symmetric,0.01,0.2606709619560351
100% Corpus,4,symmetric,0.31,0.2539032661856877
100% Corpus,4,symmetric,0.61,0.2908642009855054
100% Corpus,4,symmetric,0.9099999999999999,0.34505406279331674
100% Corpus,4,symmetric,symmetric,0.2845828407736228
100% Corpus,4,asymmetric,0.01,0.2914827136385734
100% Corpus,4,asymmetric,0.31,0.29073857407604486
100% Corpus,4,asymmetric,0.61,0.32664680456122835
100% Corpus,4,asymmetric,0.9099999999999999,0.45387661062208096
100% Corpus,4,asymmetric,symmetric,0.297057008035567
100% Corpus,5,0.01,0.01,0.3110611796323387
100% Corpus,5,0.01,0.31,0.29300334148605145
100% Corpus,5,0.01,0.61,0.35948830358452605
100% Corpus,5,0.01,0.9099999999999999,
100% Corpus,5,0.01,symmetric,0.2760859357779185
100% Corpus,5,0.31,0.01,0.2426831986591446
100% Corpus,5,0.31,0.31,0.29034477906655887
100% Corpus,5,0.31,0.61,0.38222102919338036
100% Corpus,5,0.31,0.9099999999999999,0.41604921592228417
100% Corpus,5,0.31,symmetric,0.3369872855764603
100% Corpus,5,0.61,0.01,0.29668938804371336
100% Corpus,5,0.61,0.31,0.307536236591868
100% Corpus,5,0.61,0.61,0.32896523408560285
100% Corpus,5,0.61,0.9099999999999999,0.3627741063927689
100% Corpus,5,0.61,symmetric,0.3172744773914924
100% Corpus,5,0.9099999999999999,0.01,0.3014082697422821
100% Corpus,5,0.9099999999999999,0.31,0.26766607833052497
100% Corpus,5,0.9099999999999999,0.61,0.326434499476127
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3205459970030034
100% Corpus,5,0.9099999999999999,symmetric,0.2421624192007466
100% Corpus,5,symmetric,0.01,0.2870463574054149
100% Corpus,5,symmetric,0.31,0.29720492108233165
100% Corpus,5,symmetric,0.61,0.34327639059802284
100% Corpus,5,symmetric,0.9099999999999999,0.37981213210772546
100% Corpus,5,symmetric,symmetric,0.3364587893294678
100% Corpus,5,asymmetric,0.01,0.31818054220582037
100% Corpus,5,asymmetric,0.31,0.3451484003028856
100% Corpus,5,asymmetric,0.61,0.47738271805004084
100% Corpus,5,asymmetric,0.9099999999999999,
100% Corpus,5,asymmetric,symmetric,0.29883380414157684
100% Corpus,6,0.01,0.01,0.30816147092863233
100% Corpus,6,0.01,0.31,0.28580580266129546
100% Corpus,6,0.01,0.61,0.35896158487669694
100% Corpus,6,0.01,0.9099999999999999,0.3469031845644857
100% Corpus,6,0.01,symmetric,0.28664811999625434
100% Corpus,6,0.31,0.01,0.26065402530035886
100% Corpus,6,0.31,0.31,0.273756721683754
100% Corpus,6,0.31,0.61,0.35933570417477684
100% Corpus,6,0.31,0.9099999999999999,0.42080609111643286
100% Corpus,6,0.31,symmetric,0.3252237923368579
100% Corpus,6,0.61,0.01,0.2939852908269992
100% Corpus,6,0.61,0.31,0.2828569259839972
100% Corpus,6,0.61,0.61,0.28266631956795213
100% Corpus,6,0.61,0.9099999999999999,0.369020423776697
100% Corpus,6,0.61,symmetric,0.28310086829379094
100% Corpus,6,0.9099999999999999,0.01,0.2796159416311344
100% Corpus,6,0.9099999999999999,0.31,0.27793606455530634
100% Corpus,6,0.9099999999999999,0.61,0.31871727392255605
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.29183179467294557
100% Corpus,6,0.9099999999999999,symmetric,0.30270506644130507
100% Corpus,6,symmetric,0.01,0.30305198998708616
100% Corpus,6,symmetric,0.31,0.3613499976571326
100% Corpus,6,symmetric,0.61,0.367287131460649
100% Corpus,6,symmetric,0.9099999999999999,0.4058308884553494
100% Corpus,6,symmetric,symmetric,0.33408473089666674
100% Corpus,6,asymmetric,0.01,0.33152822262384635
100% Corpus,6,asymmetric,0.31,0.3490444076623322
100% Corpus,6,asymmetric,0.61,
100% Corpus,6,asymmetric,0.9099999999999999,
100% Corpus,6,asymmetric,symmetric,0.3089793629904531
100% Corpus,7,0.01,0.01,0.30980931142849505
100% Corpus,7,0.01,0.31,0.34314638896411626
100% Corpus,7,0.01,0.61,0.4394172656125631
100% Corpus,7,0.01,0.9099999999999999,0.3437423072204392
100% Corpus,7,0.01,symmetric,0.3252045369693641
100% Corpus,7,0.31,0.01,0.3180389595854344
100% Corpus,7,0.31,0.31,0.3353650464585334
100% Corpus,7,0.31,0.61,0.39382249073624226
100% Corpus,7,0.31,0.9099999999999999,
100% Corpus,7,0.31,symmetric,0.3509607111730834
100% Corpus,7,0.61,0.01,0.35447183873775734
100% Corpus,7,0.61,0.31,0.3194294787245329
100% Corpus,7,0.61,0.61,
100% Corpus,7,0.61,0.9099999999999999,0.3661619928358565
100% Corpus,7,0.61,symmetric,0.3401934095989642
100% Corpus,7,0.9099999999999999,0.01,0.3433044144305765
100% Corpus,7,0.9099999999999999,0.31,0.32469508974243916
100% Corpus,7,0.9099999999999999,0.61,0.31597998764248547
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.30663234889299085
100% Corpus,7,0.9099999999999999,symmetric,0.3570780370166756
100% Corpus,7,symmetric,0.01,0.34793565400368365
100% Corpus,7,symmetric,0.31,0.29238325708668
100% Corpus,7,symmetric,0.61,
100% Corpus,7,symmetric,0.9099999999999999,0.40660243756957776
100% Corpus,7,symmetric,symmetric,0.3727036880557015
100% Corpus,7,asymmetric,0.01,0.3140744910817094
100% Corpus,7,asymmetric,0.31,0.41130503664364565
100% Corpus,7,asymmetric,0.61,0.49898182969128324
100% Corpus,7,asymmetric,0.9099999999999999,0.48070833472725516
100% Corpus,7,asymmetric,symmetric,0.3757544146121816
100% Corpus,8,0.01,0.01,0.2961575916971105
100% Corpus,8,0.01,0.31,0.3480676208314051
100% Corpus,8,0.01,0.61,0.40550256154946396
100% Corpus,8,0.01,0.9099999999999999,
100% Corpus,8,0.01,symmetric,0.31790263862549717
100% Corpus,8,0.31,0.01,0.3254741837383749
100% Corpus,8,0.31,0.31,0.3648889235195145
100% Corpus,8,0.31,0.61,0.41958121088944644
100% Corpus,8,0.31,0.9099999999999999,
100% Corpus,8,0.31,symmetric,0.331268835613603
100% Corpus,8,0.61,0.01,0.3542858670125487
100% Corpus,8,0.61,0.31,0.3630118252231657
100% Corpus,8,0.61,0.61,
100% Corpus,8,0.61,0.9099999999999999,
100% Corpus,8,0.61,symmetric,0.31957448510696984
100% Corpus,8,0.9099999999999999,0.01,0.30498629777542796
100% Corpus,8,0.9099999999999999,0.31,0.3796534526728622
100% Corpus,8,0.9099999999999999,0.61,0.31032264571452417
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.301977497390873
100% Corpus,8,0.9099999999999999,symmetric,0.3134884589015032
100% Corpus,8,symmetric,0.01,0.30727761768827744
100% Corpus,8,symmetric,0.31,0.3318795171825135
100% Corpus,8,symmetric,0.61,0.39747563674123887
100% Corpus,8,symmetric,0.9099999999999999,0.42743725309693653
100% Corpus,8,symmetric,symmetric,0.4124581821000781
100% Corpus,8,asymmetric,0.01,0.32449642400881984
100% Corpus,8,asymmetric,0.31,
100% Corpus,8,asymmetric,0.61,
100% Corpus,8,asymmetric,0.9099999999999999,
100% Corpus,8,asymmetric,symmetric,0.34941864049793225
100% Corpus,9,0.01,0.01,0.339319539515225
100% Corpus,9,0.01,0.31,0.3228289273240497
100% Corpus,9,0.01,0.61,0.4208556770995002
100% Corpus,9,0.01,0.9099999999999999,0.36416917732241466
100% Corpus,9,0.01,symmetric,0.32777979044286376
100% Corpus,9,0.31,0.01,0.3057840810649248
100% Corpus,9,0.31,0.31,0.32707947474471116
100% Corpus,9,0.31,0.61,0.40132861534484543
100% Corpus,9,0.31,0.9099999999999999,0.43233729161502954
100% Corpus,9,0.31,symmetric,0.31394541234387596
100% Corpus,9,0.61,0.01,0.3735103159242843
100% Corpus,9,0.61,0.31,0.34177728655886397
100% Corpus,9,0.61,0.61,0.3549667543923714
100% Corpus,9,0.61,0.9099999999999999,0.3524273456429621
100% Corpus,9,0.61,symmetric,0.37837102949367546
100% Corpus,9,0.9099999999999999,0.01,0.3652364962519846
100% Corpus,9,0.9099999999999999,0.31,0.3863383939473981
100% Corpus,9,0.9099999999999999,0.61,0.33491894510999554
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.27357969532991483
100% Corpus,9,0.9099999999999999,symmetric,0.3151648049923986
100% Corpus,9,symmetric,0.01,0.2975672245840318
100% Corpus,9,symmetric,0.31,0.3463817867347414
100% Corpus,9,symmetric,0.61,0.4044588434387928
100% Corpus,9,symmetric,0.9099999999999999,
100% Corpus,9,symmetric,symmetric,0.32340782931700357
100% Corpus,9,asymmetric,0.01,0.3098152380132893
100% Corpus,9,asymmetric,0.31,0.39600370481122454
100% Corpus,9,asymmetric,0.61,
100% Corpus,9,asymmetric,0.9099999999999999,
100% Corpus,9,asymmetric,symmetric,0.33227530861813176
