company,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9
Amazon,0.4838709677419355,0.8064516129032258,0.0,0.42857142857142855,0.6832298136645962,0.0,0.0,0.0,1.0,0.8129496402877698
Apple,0.8709677419354839,0.7580645161290323,0.07508532423208192,0.8571428571428571,0.22981366459627328,1.0,0.7222222222222222,0.3333333333333333,0.0,0.9064748201438849
Google,1.0,0.6612903225806451,0.42662116040955633,0.7678571428571429,0.37267080745341613,0.28703703703703703,0.8518518518518519,1.0,0.17142857142857143,1.0
Meta,1.0,0.0,0.15699658703071673,1.0,0.0,0.10185185185185185,0.9259259259259259,0.7380952380952381,0.23809523809523808,0.6330935251798561
Microsoft,0.0,1.0,1.0,0.0,1.0,0.3148148148148148,1.0,0.38095238095238093,0.3904761904761905,0.0
